"correct","time_1","double_response","time_2"
TRUE,0.5965,FALSE,NA
TRUE,0.7311,FALSE,NA
TRUE,0.7657,FALSE,NA
FALSE,0.5269,FALSE,NA
TRUE,0.7995,FALSE,NA
TRUE,0.5773,FALSE,NA
TRUE,0.8015,FALSE,NA
TRUE,0.5837,FALSE,NA
TRUE,0.6093,FALSE,NA
TRUE,0.5709,FALSE,NA
TRUE,0.6812,FALSE,NA
TRUE,0.6323,FALSE,NA
TRUE,0.7274,FALSE,NA
TRUE,0.857,FALSE,NA
TRUE,0.4861,FALSE,NA
TRUE,0.7127,FALSE,NA
TRUE,0.8367,FALSE,NA
FALSE,0.5462,FALSE,NA
TRUE,0.6738,FALSE,NA
TRUE,0.7277,FALSE,NA
TRUE,0.4412,FALSE,NA
FALSE,0.5948,FALSE,NA
TRUE,0.7992,FALSE,NA
FALSE,0.9169,FALSE,NA
TRUE,0.7218,FALSE,NA
TRUE,0.7356,FALSE,NA
TRUE,0.6926,FALSE,NA
TRUE,0.6158,FALSE,NA
TRUE,0.7113,FALSE,NA
TRUE,0.5701,FALSE,NA
TRUE,0.5586,FALSE,NA
TRUE,0.6605,FALSE,NA
TRUE,0.6257,FALSE,NA
FALSE,0.9016,FALSE,NA
TRUE,0.8774,FALSE,NA
TRUE,1.0327,FALSE,NA
TRUE,0.6763,FALSE,NA
TRUE,0.5626,FALSE,NA
TRUE,0.4561,FALSE,NA
TRUE,0.514,FALSE,NA
TRUE,0.6524,FALSE,NA
TRUE,0.8892,FALSE,NA
TRUE,0.5636,FALSE,NA
TRUE,0.577,FALSE,NA
FALSE,0.8159,FALSE,NA
TRUE,1.0712,FALSE,NA
TRUE,0.8929,FALSE,NA
TRUE,0.4776,FALSE,NA
TRUE,0.8203,FALSE,NA
TRUE,0.8141,FALSE,NA
TRUE,0.6909,FALSE,NA
TRUE,0.8018,FALSE,NA
TRUE,0.6845,FALSE,NA
TRUE,0.9539,FALSE,NA
TRUE,0.5387,FALSE,NA
TRUE,0.8124,FALSE,NA
TRUE,0.5885,FALSE,NA
TRUE,0.64,FALSE,NA
TRUE,0.5133,FALSE,NA
TRUE,0.9156,FALSE,NA
TRUE,0.7688,FALSE,NA
TRUE,0.7348,FALSE,NA
TRUE,0.5441,FALSE,NA
TRUE,0.6302,FALSE,NA
TRUE,0.8964,FALSE,NA
TRUE,1.0793,FALSE,NA
FALSE,0.6325,FALSE,NA
TRUE,1.1405,FALSE,NA
TRUE,0.565,FALSE,NA
TRUE,0.5415,FALSE,NA
TRUE,0.742,FALSE,NA
TRUE,0.608,FALSE,NA
TRUE,1.0949,FALSE,NA
TRUE,0.5795,FALSE,NA
TRUE,0.6578,FALSE,NA
TRUE,0.8551,FALSE,NA
TRUE,0.5842,FALSE,NA
TRUE,1.1069,FALSE,NA
TRUE,0.5275,FALSE,NA
TRUE,0.7929,FALSE,NA
TRUE,0.5936,FALSE,NA
TRUE,0.4803,FALSE,NA
TRUE,0.5973,FALSE,NA
TRUE,0.4643,FALSE,NA
TRUE,0.4946,FALSE,NA
TRUE,0.8402,FALSE,NA
TRUE,0.5142,FALSE,NA
TRUE,0.5401,FALSE,NA
TRUE,0.5378,FALSE,NA
TRUE,0.9099,FALSE,NA
TRUE,0.8647,FALSE,NA
TRUE,0.6719,FALSE,NA
TRUE,0.6782,FALSE,NA
TRUE,0.7674,FALSE,NA
TRUE,0.9219,FALSE,NA
TRUE,0.7024,FALSE,NA
TRUE,0.7588,FALSE,NA
TRUE,0.5301,FALSE,NA
TRUE,0.8009,FALSE,NA
TRUE,0.8244,FALSE,NA
TRUE,0.5382,FALSE,NA
FALSE,0.8877,FALSE,NA
TRUE,0.8431,FALSE,NA
TRUE,0.6222,FALSE,NA
TRUE,0.579,FALSE,NA
TRUE,0.6083,FALSE,NA
TRUE,0.7639,FALSE,NA
TRUE,0.4449,FALSE,NA
FALSE,0.8976,FALSE,NA
TRUE,0.6103,FALSE,NA
TRUE,0.9842,FALSE,NA
TRUE,0.6947,FALSE,NA
TRUE,0.7467,FALSE,NA
TRUE,1.2343,FALSE,NA
TRUE,0.59,FALSE,NA
TRUE,0.5694,FALSE,NA
TRUE,0.6354,FALSE,NA
TRUE,0.5957,FALSE,NA
TRUE,0.4965,FALSE,NA
TRUE,0.6264,FALSE,NA
TRUE,0.7185,FALSE,NA
TRUE,0.71,FALSE,NA
TRUE,0.5687,FALSE,NA
TRUE,0.4891,FALSE,NA
TRUE,0.6219,FALSE,NA
TRUE,0.5129,FALSE,NA
TRUE,0.7619,FALSE,NA
FALSE,0.5547,FALSE,NA
TRUE,0.7858,FALSE,NA
TRUE,0.8122,FALSE,NA
TRUE,0.5945,FALSE,NA
TRUE,0.5668,FALSE,NA
TRUE,0.612,FALSE,NA
TRUE,0.7322,FALSE,NA
TRUE,0.5166,FALSE,NA
TRUE,0.8144,FALSE,NA
TRUE,0.5374,FALSE,NA
TRUE,0.749,FALSE,NA
TRUE,0.6751,FALSE,NA
FALSE,0.9738,FALSE,NA
TRUE,1.5376,FALSE,NA
TRUE,0.6613,FALSE,NA
TRUE,1.3033,FALSE,NA
TRUE,0.9222,FALSE,NA
TRUE,0.9606,FALSE,NA
TRUE,0.5481,FALSE,NA
TRUE,0.6376,FALSE,NA
TRUE,0.769,FALSE,NA
TRUE,1.2511,FALSE,NA
TRUE,0.6637,FALSE,NA
TRUE,0.6772,FALSE,NA
TRUE,0.756,FALSE,NA
TRUE,0.6318,FALSE,NA
TRUE,0.5442,FALSE,NA
TRUE,0.6578,FALSE,NA
TRUE,0.7279,FALSE,NA
TRUE,0.866,FALSE,NA
TRUE,0.6269,FALSE,NA
TRUE,0.5054,FALSE,NA
TRUE,0.7753,FALSE,NA
TRUE,0.7829,FALSE,NA
TRUE,0.6838,FALSE,NA
TRUE,0.7661,FALSE,NA
TRUE,0.755,FALSE,NA
TRUE,0.4742,FALSE,NA
FALSE,0.6091,FALSE,NA
TRUE,0.635,FALSE,NA
TRUE,1.7604,FALSE,NA
TRUE,0.6032,FALSE,NA
TRUE,0.5086,FALSE,NA
TRUE,1.1132,FALSE,NA
TRUE,0.6013,FALSE,NA
TRUE,0.6507,FALSE,NA
TRUE,0.5879,FALSE,NA
TRUE,0.8122,FALSE,NA
TRUE,0.9398,FALSE,NA
TRUE,0.6858,FALSE,NA
TRUE,0.798,FALSE,NA
TRUE,0.5266,FALSE,NA
TRUE,0.6086,FALSE,NA
TRUE,0.5011,FALSE,NA
TRUE,0.7022,FALSE,NA
TRUE,0.795,FALSE,NA
TRUE,0.7759,FALSE,NA
TRUE,0.639,FALSE,NA
FALSE,0.783,FALSE,NA
TRUE,1.0784,FALSE,NA
TRUE,0.7793,FALSE,NA
TRUE,0.6298,FALSE,NA
TRUE,0.47,FALSE,NA
TRUE,0.6052,FALSE,NA
TRUE,0.6942,FALSE,NA
TRUE,0.6862,FALSE,NA
TRUE,0.5509,FALSE,NA
TRUE,0.8061,FALSE,NA
TRUE,0.711,FALSE,NA
TRUE,0.5045,FALSE,NA
TRUE,0.5485,FALSE,NA
TRUE,0.8582,FALSE,NA
TRUE,0.6039,FALSE,NA
TRUE,0.735,FALSE,NA
TRUE,0.6879,FALSE,NA
TRUE,0.5751,FALSE,NA
TRUE,0.7528,FALSE,NA
TRUE,0.7214,FALSE,NA
TRUE,0.4536,FALSE,NA
TRUE,0.7356,FALSE,NA
FALSE,0.5572,FALSE,NA
TRUE,1.0629,FALSE,NA
TRUE,0.542,FALSE,NA
TRUE,0.7416,FALSE,NA
TRUE,0.5123,FALSE,NA
TRUE,0.6382,FALSE,NA
FALSE,0.9697,FALSE,NA
TRUE,0.8442,FALSE,NA
FALSE,0.6047,FALSE,NA
TRUE,0.741,FALSE,NA
TRUE,0.6182,FALSE,NA
TRUE,0.5625,FALSE,NA
TRUE,0.6581,FALSE,NA
TRUE,0.592,FALSE,NA
TRUE,1.0072,FALSE,NA
TRUE,0.5534,FALSE,NA
TRUE,0.6542,FALSE,NA
TRUE,0.7225,FALSE,NA
TRUE,0.7067,FALSE,NA
TRUE,0.6929,FALSE,NA
TRUE,0.717,FALSE,NA
FALSE,0.9011,FALSE,NA
TRUE,0.6934,FALSE,NA
TRUE,0.725,FALSE,NA
TRUE,1.137,FALSE,NA
FALSE,0.4547,FALSE,NA
TRUE,0.5819,FALSE,NA
FALSE,0.741,FALSE,NA
TRUE,0.5623,FALSE,NA
TRUE,0.7505,FALSE,NA
TRUE,0.6651,FALSE,NA
TRUE,0.551,FALSE,NA
TRUE,0.4948,FALSE,NA
TRUE,0.582,FALSE,NA
TRUE,0.703,FALSE,NA
TRUE,0.7385,FALSE,NA
TRUE,0.7621,FALSE,NA
TRUE,0.7387,FALSE,NA
TRUE,0.6808,FALSE,NA
TRUE,1.2291,FALSE,NA
TRUE,0.7814,FALSE,NA
TRUE,0.5734,FALSE,NA
TRUE,0.6333,FALSE,NA
TRUE,0.6191,FALSE,NA
TRUE,0.8043,FALSE,NA
TRUE,0.4996,FALSE,NA
TRUE,0.5621,FALSE,NA
FALSE,1.0236,FALSE,NA
TRUE,0.6146,FALSE,NA
TRUE,0.6543,FALSE,NA
TRUE,0.8678,FALSE,NA
TRUE,0.5798,FALSE,NA
TRUE,0.6066,FALSE,NA
TRUE,0.5546,FALSE,NA
TRUE,0.9829,FALSE,NA
TRUE,0.6538,FALSE,NA
TRUE,0.6329,FALSE,NA
TRUE,0.6172,FALSE,NA
TRUE,0.5137,FALSE,NA
TRUE,0.7031,FALSE,NA
TRUE,0.6038,FALSE,NA
FALSE,0.5499,FALSE,NA
TRUE,0.955,FALSE,NA
TRUE,0.6125,FALSE,NA
TRUE,0.7131,FALSE,NA
TRUE,0.557,FALSE,NA
TRUE,0.9108,FALSE,NA
TRUE,0.6188,FALSE,NA
TRUE,0.6047,FALSE,NA
TRUE,0.7237,FALSE,NA
TRUE,0.6607,FALSE,NA
TRUE,1.3029,FALSE,NA
TRUE,0.6994,FALSE,NA
TRUE,0.6196,FALSE,NA
TRUE,0.5995,FALSE,NA
TRUE,0.707,FALSE,NA
TRUE,0.8536,FALSE,NA
TRUE,0.8971,FALSE,NA
TRUE,0.7378,FALSE,NA
TRUE,0.5252,FALSE,NA
TRUE,0.6074,FALSE,NA
TRUE,0.4986,FALSE,NA
TRUE,0.6267,FALSE,NA
TRUE,0.7169,FALSE,NA
TRUE,0.7617,FALSE,NA
TRUE,0.6102,FALSE,NA
TRUE,0.7164,FALSE,NA
TRUE,0.693,FALSE,NA
TRUE,0.5195,FALSE,NA
TRUE,0.7074,FALSE,NA
TRUE,0.6198,FALSE,NA
TRUE,0.4779,FALSE,NA
TRUE,0.6202,FALSE,NA
TRUE,0.5455,FALSE,NA
TRUE,0.7223,FALSE,NA
TRUE,0.5855,FALSE,NA
TRUE,0.7982,FALSE,NA
TRUE,0.5244,FALSE,NA
TRUE,0.795,FALSE,NA
TRUE,0.7017,FALSE,NA
TRUE,0.5929,FALSE,NA
TRUE,0.5767,FALSE,NA
TRUE,0.6228,FALSE,NA
TRUE,0.4738,FALSE,NA
TRUE,0.631,FALSE,NA
TRUE,0.657,FALSE,NA
TRUE,0.6193,FALSE,NA
TRUE,0.4932,FALSE,NA
TRUE,0.6201,FALSE,NA
TRUE,0.5874,FALSE,NA
TRUE,0.6342,FALSE,NA
TRUE,0.8271,FALSE,NA
FALSE,0.601,FALSE,NA
TRUE,0.6286,FALSE,NA
TRUE,0.8111,FALSE,NA
TRUE,0.7186,FALSE,NA
TRUE,0.8577,FALSE,NA
TRUE,0.5717,FALSE,NA
TRUE,0.5132,FALSE,NA
TRUE,0.7206,FALSE,NA
TRUE,0.8703,FALSE,NA
TRUE,0.6687,FALSE,NA
TRUE,0.6571,FALSE,NA
TRUE,0.633,FALSE,NA
TRUE,1.3763,FALSE,NA
TRUE,0.6401,FALSE,NA
TRUE,0.8873,FALSE,NA
TRUE,0.8888,FALSE,NA
TRUE,0.5921,FALSE,NA
TRUE,0.5314,FALSE,NA
TRUE,0.9057,FALSE,NA
TRUE,0.747,FALSE,NA
TRUE,0.8075,FALSE,NA
TRUE,0.5744,FALSE,NA
TRUE,0.9817,FALSE,NA
TRUE,0.7412,FALSE,NA
TRUE,0.8552,FALSE,NA
TRUE,0.5077,FALSE,NA
